year,unitid,sex,number_applied,number_admitted,number_enrolled_ft,number_enrolled_pt,number_enrolled_total,gender,pct_admitted,pct_matriculated
2017,100654,1,3066.0,2704.0,515.0,3.0,518.0,Male,0.8819308545335942,0.1915680473372781
2017,100654,2,5544.0,5068.0,773.0,3.0,776.0,Female,0.9141414141414141,0.15311760063141278
2017,100654,99,8610.0,7772.0,1288.0,6.0,1294.0,Total,0.9026713124274099,0.1664951106536284
2017,100663,1,2729.0,2487.0,833.0,28.0,861.0,Male,0.9113228288750458,0.34620024125452353
2017,100663,2,4826.0,4449.0,1395.0,43.0,1438.0,Female,0.921881475341898,0.32321870083164755
2017,100663,99,7555.0,6936.0,2228.0,71.0,2299.0,Total,0.9180675049636002,0.3314590542099193
2017,100690,1,,,,,,Male,,
2017,100690,2,,,,,,Female,,
2017,100690,99,,,,,,Total,,
2017,100706,1,2466.0,2082.0,860.0,7.0,867.0,Male,0.8442822384428224,0.4164265129682997
2017,100706,2,1988.0,1536.0,481.0,4.0,485.0,Female,0.772635814889336,0.3157552083333333
2017,100706,99,4454.0,3618.0,1341.0,11.0,1352.0,Total,0.8123035473731477,0.3736871199557767
2017,100724,1,2136.0,2071.0,349.0,8.0,357.0,Male,0.9695692883895131,0.1723804925156929
2017,100724,2,4515.0,4438.0,602.0,8.0,610.0,Female,0.9829457364341085,0.13744930148715637
2017,100724,99,6842.0,6696.0,951.0,16.0,967.0,Total,0.9786612101724642,0.14441457586618878
2017,100733,1,,,,,,Male,,
2017,100733,2,,,,,,Female,,
2017,100733,99,,,,,,Total,,
2017,100751,1,14705.0,7992.0,3157.0,10.0,3167.0,Male,0.543488609316559,0.39627127127127126
2017,100751,2,23424.0,12329.0,4228.0,12.0,4240.0,Female,0.5263405054644809,0.34390461513504744
2017,100751,99,38129.0,20321.0,7385.0,22.0,7407.0,Total,0.5329539195887645,0.364499778554205
2017,100760,1,,,,,,Male,,
2017,100760,2,,,,,,Female,,
2017,100760,99,,,,,,Total,,
2017,100812,1,,,,,,Male,,
2017,100812,2,,,,,,Female,,
2017,100812,99,,,,,,Total,,
2017,100830,1,841.0,715.0,265.0,11.0,276.0,Male,0.8501783590963139,0.386013986013986
2017,100830,2,1633.0,1327.0,383.0,14.0,397.0,Female,0.812614819350888,0.29917106254709874
2017,100830,99,2474.0,2042.0,648.0,25.0,673.0,Total,0.8253839935327405,0.3295788442703232
2017,100858,1,7841.0,6576.0,2216.0,45.0,2261.0,Male,0.8386685371763806,0.34382603406326034
2017,100858,2,10231.0,8592.0,2555.0,20.0,2575.0,Female,0.8398006060013684,0.2996973929236499
2017,100858,99,18072.0,15168.0,4771.0,65.0,4836.0,Total,0.8393094289508632,0.3188291139240506
2017,100937,1,1098.0,726.0,183.0,,183.0,Male,0.6612021857923497,0.25206611570247933
2017,100937,2,1461.0,857.0,166.0,,166.0,Female,0.5865845311430528,0.19369894982497082
2017,100937,99,2559.0,1583.0,349.0,,349.0,Total,0.6186010160218836,0.2204674668351232
2017,101028,1,,,,,,Male,,
2017,101028,2,,,,,,Female,,
2017,101028,99,,,,,,Total,,
2017,101073,1,,,,,,Male,,
2017,101073,2,,,,,,Female,,
2017,101073,99,,,,,,Total,,
2017,101116,1,,,,,,Male,,
2017,101116,2,,,,,,Female,,
2017,101116,99,,,,,,Total,,
2017,101143,1,,,,,,Male,,
2017,101143,2,,,,,,Female,,
2017,101143,99,,,,,,Total,,
2017,101161,1,,,,,,Male,,
2017,101161,2,,,,,,Female,,
2017,101161,99,,,,,,Total,,
2017,101189,1,878.0,484.0,153.0,9.0,162.0,Male,0.55125284738041,0.3347107438016529
2017,101189,2,1457.0,707.0,158.0,13.0,171.0,Female,0.4852436513383665,0.24186704384724186
2017,101189,99,2335.0,1191.0,311.0,22.0,333.0,Total,0.5100642398286938,0.2795969773299748
2017,101240,1,,,,,,Male,,
2017,101240,2,,,,,,Female,,
2017,101240,99,,,,,,Total,,
2017,101277,1,,,,,,Male,,
2017,101277,2,,,,,,Female,,
2017,101277,99,,,,,,Total,,
2017,101286,1,,,,,,Male,,
2017,101286,2,,,,,,Female,,
2017,101286,99,,,,,,Total,,
2017,101295,1,,,,,,Male,,
2017,101295,2,,,,,,Female,,
2017,101295,99,,,,,,Total,,
2017,101301,1,,,,,,Male,,
2017,101301,2,,,,,,Female,,
2017,101301,99,,,,,,Total,,
2017,101365,1,36.0,34.0,1.0,27.0,28.0,Male,0.9444444444444444,0.8235294117647058
2017,101365,2,71.0,47.0,7.0,16.0,23.0,Female,0.6619718309859155,0.48936170212765956
2017,101365,99,107.0,81.0,8.0,43.0,51.0,Total,0.7570093457943925,0.6296296296296297
2017,101435,1,1119.0,585.0,155.0,0.0,155.0,Male,0.5227882037533512,0.26495726495726496
2017,101435,2,955.0,576.0,139.0,0.0,139.0,Female,0.6031413612565445,0.24131944444444445
2017,101435,99,2074.0,1161.0,294.0,0.0,294.0,Total,0.559787849566056,0.2532299741602067
2017,101453,1,6.0,6.0,6.0,0.0,6.0,Male,1.0,1.0
2017,101453,2,0.0,,,,,Female,,
2017,101453,99,6.0,6.0,6.0,0.0,6.0,Total,1.0,1.0
2017,101462,1,,,,,,Male,,
2017,101462,2,,,,,,Female,,
2017,101462,99,,,,,,Total,,
2017,101471,1,,,,,,Male,,
2017,101471,2,,,,,,Female,,
2017,101471,99,,,,,,Total,,
2017,101480,1,2379.0,1312.0,447.0,12.0,459.0,Male,0.5514922236233711,0.34984756097560976
2017,101480,2,3626.0,1932.0,668.0,20.0,688.0,Female,0.5328185328185329,0.35610766045548653
2017,101480,99,6005.0,3244.0,1115.0,32.0,1147.0,Total,0.5402164862614488,0.3535758323057953
2017,101499,1,,,,,,Male,,
2017,101499,2,,,,,,Female,,
2017,101499,99,,,,,,Total,,
2017,101505,1,,,,,,Male,,
2017,101505,2,,,,,,Female,,
2017,101505,99,,,,,,Total,,
2017,101514,1,,,,,,Male,,
2017,101514,2,,,,,,Female,,
2017,101514,99,,,,,,Total,,
2017,101541,1,3.0,1.0,,,0.0,Male,0.3333333333333333,0.0
2017,101541,2,494.0,251.0,65.0,1.0,66.0,Female,0.5080971659919028,0.26294820717131473
2017,101541,99,497.0,252.0,65.0,1.0,66.0,Total,0.5070422535211268,0.2619047619047619
2017,101569,1,,,,,,Male,,
2017,101569,2,,,,,,Female,,
2017,101569,99,,,,,,Total,,
2017,101587,1,2685.0,796.0,187.0,0.0,187.0,Male,0.2964618249534451,0.23492462311557788
2017,101587,2,4703.0,1288.0,273.0,1.0,274.0,Female,0.27386774399319586,0.2127329192546584
2017,101587,99,7388.0,2084.0,460.0,1.0,461.0,Total,0.2820790471034109,0.22120921305182342
2017,101602,1,,,,,,Male,,
2017,101602,2,,,,,,Female,,
2017,101602,99,,,,,,Total,,
2017,101648,1,711.0,438.0,211.0,,211.0,Male,0.6160337552742616,0.4817351598173516
2017,101648,2,354.0,157.0,70.0,,70.0,Female,0.4435028248587571,0.445859872611465
2017,101648,99,1065.0,595.0,281.0,,281.0,Total,0.5586854460093896,0.4722689075630252
2017,101675,1,,,,,,Male,,
2017,101675,2,,,,,,Female,,
