year,unitid,reqt_test_scores,open_admissions_policy,reqt_hs_gpa,reqt_recommendations,sat_number_submitting,sat_percent_submitting,act_number_submitting,act_percent_submitting,sat_crit_read_25_pctl,sat_crit_read_75_pctl,sat_math_25_pctl,sat_math_75_pctl,act_composite_25_pctl,act_composite_75_pctl,act_english_25_pctl,act_english_75_pctl,act_math_25_pctl,act_math_75_pctl,sat_writing_25_pctl,sat_writing_75_pctl,act_writing_25_pctl,act_writing_75_pctl
2017,100654,Required,No,Required,Neither required nor recommended,21.0,1.0,1270.0,88.0,365.0,485.0,360.0,495.0,16.0,19.0,14.0,20.0,15.0,18.0,,,,
2017,100663,Required,No,Required,Neither required nor recommended,15.0,1.0,2093.0,94.0,440.0,630.0,550.0,740.0,21.0,28.0,22.0,31.0,21.0,26.0,,,,
2017,100690,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,100706,Required,No,Required,Neither required nor recommended,29.0,2.0,1292.0,96.0,550.0,660.0,530.0,670.0,25.0,31.0,25.0,33.0,24.0,29.0,,,,
2017,100724,Required,No,Required,Neither required nor recommended,173.0,18.0,826.0,85.0,380.0,485.0,375.0,481.0,16.0,20.0,15.0,19.0,14.0,19.0,,,,
2017,100733,Unreported,Unreported,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,100751,Required,No,Required,Neither required nor recommended,1397.0,19.0,5981.0,81.0,530.0,640.0,520.0,640.0,23.0,32.0,23.0,33.0,21.0,29.0,,,,
2017,100760,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,100812,Unreported,Unreported,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,100830,Required,No,Required,Neither required nor recommended,26.0,4.0,563.0,84.0,490.0,565.0,475.0,545.0,19.0,24.0,19.0,24.0,17.0,22.0,,,,
2017,100858,Required,No,Required,Recommended,572.0,12.0,4215.0,87.0,570.0,650.0,560.0,660.0,24.0,30.0,24.0,32.0,23.0,28.0,,,,
2017,100937,Required,No,Required,Required,65.0,18.0,296.0,83.0,520.0,630.0,510.0,630.0,23.0,29.0,23.0,31.0,22.0,27.0,,,,
2017,101028,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,101073,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,101116,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,101143,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,101161,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,101189,Required,No,Required,Recommended,36.0,11.0,266.0,80.0,460.0,590.0,460.0,560.0,18.0,22.0,17.0,23.0,16.0,22.0,,,,
2017,101240,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,101277,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,101286,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,101295,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,101301,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,101365,Recommended,No,Neither required nor recommended,Neither required nor recommended,,,,,,,,,,,,,,,,,,
2017,101435,Required,No,Required,Recommended,63.0,21.0,269.0,92.0,490.0,595.0,500.0,580.0,19.0,24.0,18.0,24.0,17.0,24.0,,,,
