year,fips,unitid,sex,number_applied,number_admitted,number_enrolled_ft,number_enrolled_pt,number_enrolled_total
2017,1,100654,1,3066.0,2704.0,515.0,3.0,518.0
2017,1,100654,2,5544.0,5068.0,773.0,3.0,776.0
2017,1,100654,99,8610.0,7772.0,1288.0,6.0,1294.0
2017,1,100663,1,2729.0,2487.0,833.0,28.0,861.0
2017,1,100663,2,4826.0,4449.0,1395.0,43.0,1438.0
2017,1,100663,99,7555.0,6936.0,2228.0,71.0,2299.0
2017,1,100690,1,,,,,
2017,1,100690,2,,,,,
2017,1,100690,99,,,,,
2017,1,100706,1,2466.0,2082.0,860.0,7.0,867.0
2017,1,100706,2,1988.0,1536.0,481.0,4.0,485.0
2017,1,100706,99,4454.0,3618.0,1341.0,11.0,1352.0
2017,1,100724,1,2136.0,2071.0,349.0,8.0,357.0
2017,1,100724,2,4515.0,4438.0,602.0,8.0,610.0
2017,1,100724,99,6842.0,6696.0,951.0,16.0,967.0
2017,1,100733,1,,,,,
2017,1,100733,2,,,,,
2017,1,100733,99,,,,,
2017,1,100751,1,14705.0,7992.0,3157.0,10.0,3167.0
2017,1,100751,2,23424.0,12329.0,4228.0,12.0,4240.0
2017,1,100751,99,38129.0,20321.0,7385.0,22.0,7407.0
2017,1,100760,1,,,,,
2017,1,100760,2,,,,,
2017,1,100760,99,,,,,
2017,1,100812,1,,,,,
2017,1,100812,2,,,,,
2017,1,100812,99,,,,,
2017,1,100830,1,841.0,715.0,265.0,11.0,276.0
2017,1,100830,2,1633.0,1327.0,383.0,14.0,397.0
2017,1,100830,99,2474.0,2042.0,648.0,25.0,673.0
2017,1,100858,1,7841.0,6576.0,2216.0,45.0,2261.0
2017,1,100858,2,10231.0,8592.0,2555.0,20.0,2575.0
2017,1,100858,99,18072.0,15168.0,4771.0,65.0,4836.0
2017,1,100937,1,1098.0,726.0,183.0,,183.0
2017,1,100937,2,1461.0,857.0,166.0,,166.0
2017,1,100937,99,2559.0,1583.0,349.0,,349.0
2017,1,101028,1,,,,,
2017,1,101028,2,,,,,
2017,1,101028,99,,,,,
2017,1,101073,1,,,,,
2017,1,101073,2,,,,,
2017,1,101073,99,,,,,
2017,1,101116,1,,,,,
2017,1,101116,2,,,,,
2017,1,101116,99,,,,,
2017,1,101143,1,,,,,
2017,1,101143,2,,,,,
2017,1,101143,99,,,,,
2017,1,101161,1,,,,,
2017,1,101161,2,,,,,
2017,1,101161,99,,,,,
2017,1,101189,1,878.0,484.0,153.0,9.0,162.0
2017,1,101189,2,1457.0,707.0,158.0,13.0,171.0
2017,1,101189,99,2335.0,1191.0,311.0,22.0,333.0
2017,1,101240,1,,,,,
2017,1,101240,2,,,,,
2017,1,101240,99,,,,,
2017,1,101277,1,,,,,
2017,1,101277,2,,,,,
2017,1,101277,99,,,,,
2017,1,101286,1,,,,,
2017,1,101286,2,,,,,
2017,1,101286,99,,,,,
2017,1,101295,1,,,,,
2017,1,101295,2,,,,,
2017,1,101295,99,,,,,
2017,1,101301,1,,,,,
2017,1,101301,2,,,,,
2017,1,101301,99,,,,,
2017,1,101365,1,36.0,34.0,1.0,27.0,28.0
2017,1,101365,2,71.0,47.0,7.0,16.0,23.0
2017,1,101365,99,107.0,81.0,8.0,43.0,51.0
2017,1,101435,1,1119.0,585.0,155.0,0.0,155.0
2017,1,101435,2,955.0,576.0,139.0,0.0,139.0
2017,1,101435,99,2074.0,1161.0,294.0,0.0,294.0
2017,1,101453,1,6.0,6.0,6.0,0.0,6.0
2017,1,101453,2,0.0,,,,
2017,1,101453,99,6.0,6.0,6.0,0.0,6.0
2017,1,101462,1,,,,,
2017,1,101462,2,,,,,
2017,1,101462,99,,,,,
2017,1,101471,1,,,,,
2017,1,101471,2,,,,,
2017,1,101471,99,,,,,
2017,1,101480,1,2379.0,1312.0,447.0,12.0,459.0
2017,1,101480,2,3626.0,1932.0,668.0,20.0,688.0
2017,1,101480,99,6005.0,3244.0,1115.0,32.0,1147.0
2017,1,101499,1,,,,,
2017,1,101499,2,,,,,
2017,1,101499,99,,,,,
2017,1,101505,1,,,,,
2017,1,101505,2,,,,,
2017,1,101505,99,,,,,
2017,1,101514,1,,,,,
2017,1,101514,2,,,,,
2017,1,101514,99,,,,,
2017,1,101541,1,3.0,1.0,,,0.0
2017,1,101541,2,494.0,251.0,65.0,1.0,66.0
2017,1,101541,99,497.0,252.0,65.0,1.0,66.0
2017,1,101569,1,,,,,
2017,1,101569,2,,,,,
2017,1,101569,99,,,,,
2017,1,101587,1,2685.0,796.0,187.0,0.0,187.0
2017,1,101587,2,4703.0,1288.0,273.0,1.0,274.0
2017,1,101587,99,7388.0,2084.0,460.0,1.0,461.0
2017,1,101602,1,,,,,
2017,1,101602,2,,,,,
2017,1,101602,99,,,,,
2017,1,101648,1,711.0,438.0,211.0,,211.0
2017,1,101648,2,354.0,157.0,70.0,,70.0
2017,1,101648,99,1065.0,595.0,281.0,,281.0
2017,1,101675,1,,,,,
2017,1,101675,2,,,,,
2017,1,101675,99,,,,,
2017,1,101693,1,496.0,253.0,95.0,1.0,96.0
2017,1,101693,2,997.0,449.0,132.0,0.0,132.0
2017,1,101693,99,1493.0,702.0,227.0,1.0,228.0
2017,1,101709,1,615.0,401.0,178.0,1.0,179.0
2017,1,101709,2,1253.0,844.0,304.0,4.0,308.0
2017,1,101709,99,1944.0,1253.0,482.0,5.0,487.0
2017,1,101736,1,,,,,
2017,1,101736,2,,,,,
2017,1,101736,99,,,,,
2017,1,101879,1,1507.0,1021.0,403.0,7.0,410.0
2017,1,101879,2,2462.0,1766.0,705.0,13.0,718.0
2017,1,101879,99,3969.0,2787.0,1108.0,20.0,1128.0
2017,1,101897,1,,,,,
2017,1,101897,2,,,,,
2017,1,101897,99,,,,,
2017,1,101912,1,966.0,443.0,145.0,1.0,146.0
2017,1,101912,2,1507.0,721.0,221.0,1.0,222.0
2017,1,101912,99,2473.0,1164.0,366.0,2.0,368.0
2017,1,101949,1,,,,,
2017,1,101949,2,,,,,
2017,1,101949,99,,,,,
2017,17,101958,1,,,,,
