year,fips,unitid,reqt_hs_diploma,reqt_hs_rank,reqt_test_scores,reqt_sat_scores,reqt_other_test,reqt_residence,reqt_ability_to_benefit,reqt_age,reqt_toefl,reqt_other,years_college_reqd,no_entering_freshmen,open_admissions_policy,reqt_hs_gpa,reqt_hs_record,reqt_college_prep,reqt_recommendations,reqt_competencies,sat_act_report_period,sat_number_submitting,sat_percent_submitting,act_number_submitting,act_percent_submitting,sat_crit_read_25_pctl,sat_crit_read_75_pctl,sat_math_25_pctl,sat_math_75_pctl,act_composite_25_pctl,act_composite_75_pctl,act_english_25_pctl,act_english_75_pctl,act_math_25_pctl,act_math_75_pctl,sat_writing_25_pctl,sat_writing_75_pctl,act_writing_25_pctl,act_writing_75_pctl
2017,1,100654,,2.0,1.0,,0.0,,,,1.0,,-2.0,,0.0,1.0,1.0,2.0,0.0,2.0,,21.0,1.0,1270.0,88.0,365.0,485.0,360.0,495.0,16.0,19.0,14.0,20.0,15.0,18.0,,,,
2017,1,100663,,0.0,1.0,,0.0,,,,0.0,,-2.0,,0.0,1.0,1.0,1.0,0.0,0.0,,15.0,1.0,2093.0,94.0,440.0,630.0,550.0,740.0,21.0,28.0,22.0,31.0,21.0,26.0,,,,
2017,1,100690,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,100706,,2.0,1.0,,0.0,,,,1.0,,-2.0,,0.0,1.0,1.0,1.0,0.0,2.0,,29.0,2.0,1292.0,96.0,550.0,660.0,530.0,670.0,25.0,31.0,25.0,33.0,24.0,29.0,,,,
2017,1,100724,,0.0,1.0,,0.0,,,,1.0,,-2.0,,0.0,1.0,2.0,0.0,0.0,0.0,,173.0,18.0,826.0,85.0,380.0,485.0,375.0,481.0,16.0,20.0,15.0,19.0,14.0,19.0,,,,
2017,1,100733,,,,,,,,,,,-2.0,,-2.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,100751,,2.0,1.0,,0.0,,,,1.0,,-2.0,,0.0,1.0,1.0,1.0,0.0,0.0,,1397.0,19.0,5981.0,81.0,530.0,640.0,520.0,640.0,23.0,32.0,23.0,33.0,21.0,29.0,,,,
2017,1,100760,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,100812,,,,,,,,,,,2.0,,-2.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,100830,,2.0,1.0,,0.0,,,,1.0,,-2.0,,0.0,1.0,1.0,0.0,0.0,0.0,,26.0,4.0,563.0,84.0,490.0,565.0,475.0,545.0,19.0,24.0,19.0,24.0,17.0,22.0,,,,
2017,1,100858,,2.0,1.0,,0.0,,,,1.0,,-2.0,,0.0,1.0,1.0,1.0,2.0,0.0,,572.0,12.0,4215.0,87.0,570.0,650.0,560.0,660.0,24.0,30.0,24.0,32.0,23.0,28.0,,,,
2017,1,100937,,1.0,1.0,,0.0,,,,1.0,,-2.0,,0.0,1.0,1.0,0.0,1.0,0.0,,65.0,18.0,296.0,83.0,520.0,630.0,510.0,630.0,23.0,29.0,23.0,31.0,22.0,27.0,,,,
2017,1,101028,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,101073,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,101116,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,101143,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,101161,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,101189,,2.0,1.0,,0.0,,,,2.0,,-2.0,,0.0,1.0,1.0,0.0,2.0,0.0,,36.0,11.0,266.0,80.0,460.0,590.0,460.0,560.0,18.0,22.0,17.0,23.0,16.0,22.0,,,,
2017,1,101240,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,101277,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,101286,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,101295,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,101301,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
