unitid,year,ftpt,fips,retention_rate,returning_students,prev_cohort,prev_exclusions,prev_cohort_adj
100654,2017,1,1,0.59,829.0,1410.0,0.0,1410.0
100654,2017,2,1,0.13,5.0,38.0,0.0,38.0
100654,2017,99,1,0.58,834.0,1448.0,0.0,1448.0
100663,2017,1,1,0.84,1629.0,1931.0,0.0,1931.0
100663,2017,2,1,0.44,32.0,73.0,0.0,73.0
100663,2017,99,1,0.83,1661.0,2004.0,0.0,2004.0
100690,2017,1,1,0.67,2.0,3.0,0.0,3.0
100690,2017,2,1,0.12,2.0,17.0,0.0,17.0
100690,2017,99,1,0.2,4.0,20.0,0.0,20.0
100706,2017,1,1,0.82,984.0,1203.0,10.0,1193.0
100706,2017,2,1,0.38,3.0,9.0,1.0,8.0
100706,2017,99,1,0.82,987.0,1212.0,11.0,1201.0
100724,2017,1,1,0.59,677.0,1143.0,0.0,1143.0
100724,2017,2,1,0.35,7.0,20.0,0.0,20.0
100724,2017,99,1,0.59,684.0,1163.0,0.0,1163.0
100751,2017,1,1,0.87,6565.0,7541.0,3.0,7538.0
100751,2017,2,1,0.56,10.0,18.0,0.0,18.0
100751,2017,99,1,0.87,6575.0,7559.0,3.0,7556.0
100760,2017,1,1,0.63,215.0,340.0,0.0,340.0
100760,2017,2,1,0.4,19.0,48.0,0.0,48.0
100760,2017,99,1,0.6,234.0,388.0,0.0,388.0
100812,2017,1,1,,,,,
100812,2017,2,1,,,,,
100812,2017,99,1,,0.0,0.0,0.0,0.0
100830,2017,1,1,0.68,381.0,558.0,0.0,558.0
100830,2017,2,1,0.46,16.0,35.0,0.0,35.0
100830,2017,99,1,0.67,397.0,593.0,0.0,593.0
100858,2017,1,1,0.92,4101.0,4487.0,6.0,4481.0
100858,2017,2,1,0.87,34.0,42.0,3.0,39.0
100858,2017,99,1,0.91,4135.0,4529.0,9.0,4520.0
100937,2017,1,1,0.75,247.0,328.0,0.0,328.0
100937,2017,2,1,,,,,
100937,2017,99,1,0.75,247.0,328.0,0.0,328.0
101028,2017,1,1,0.55,161.0,293.0,0.0,293.0
101028,2017,2,1,0.38,25.0,66.0,0.0,66.0
101028,2017,99,1,0.52,186.0,359.0,0.0,359.0
101073,2017,1,1,0.35,45.0,129.0,0.0,129.0
101073,2017,2,1,0.25,1.0,4.0,0.0,4.0
101073,2017,99,1,0.35,46.0,133.0,0.0,133.0
101116,2017,1,1,0.38,5.0,13.0,0.0,13.0
101116,2017,2,1,0.0,0.0,2.0,0.0,2.0
101116,2017,99,1,0.33,5.0,15.0,0.0,15.0
101143,2017,1,1,0.5,149.0,296.0,0.0,296.0
101143,2017,2,1,0.35,31.0,88.0,0.0,88.0
101143,2017,99,1,0.47,180.0,384.0,0.0,384.0
101161,2017,1,1,0.6,622.0,1042.0,0.0,1042.0
